Level,Health,Power Pip,Shadow Pip,Archmastery,Pip Conserve
1,450,0,0,0,0
2,474,0,0,0,0
3,503,0,0,0,0
4,530,0,0,0,0
5,557,0,0,0,0
6,584,0,0,0,0
7,611,0,0,0,0
8,638,0,0,0,0
9,665,0,0,0,0
10,692,10,0,0,0
11,719,11,0,0,0
12,746,12,0,0,0
13,773,12,0,0,0
14,801,13,0,0,0
15,828,14,0,0,0
16,855,15,0,0,0
17,882,15,0,0,0
18,909,16,0,0,0
19,936,17,0,0,0
20,963,18,0,0,0
21,990,18,0,0,0
22,1017,19,0,0,0
23,1044,20,0,0,0
24,1071,21,0,0,0
25,1098,21,0,0,0
26,1125,22,0,0,0
27,1152,23,0,0,0
28,1179,24,0,0,0
29,1206,24,0,0,0
30,1233,25,0,0,0
31,1260,26,0,0,0
32,1287,27,0,0,0
33,1314,27,0,0,0
34,1341,28,0,0,0
35,1368,29,0,0,0
36,1395,30,0,0,0
37,1422,30,0,0,0
38,1450,31,0,0,0
39,1477,32,0,0,0
40,1504,33,0,0,0
41,1531,33,0,0,0
42,1558,34,0,0,0
43,1585,35,0,0,0
44,1612,36,0,0,0
45,1639,36,0,0,0
46,1666,37,0,0,0
47,1693,38,0,0,0
48,1720,39,0,0,0
49,1747,39,0,0,0
50,1774,40,0,40,0
51,1801,40,0,40,0
52,1828,40,0,41,0
53,1855,40,0,42,0
54,1882,40,0,43,0
55,1909,40,0,44,0
56,1936,40,0,44,0
57,1963,40,0,45,0
58,1990,40,0,46,0
59,2017,40,0,47,0
60,2044,40,0,48,0
61,2071,40,0,48,0
62,1944,40,0,49,0
63,2125,40,0,50,0
64,2152,40,0,51,0
65,2179,40,0,52,0
66,2206,40,0,52,0
67,2233,40,0,53,0
68,2260,40,0,54,0
69,2287,40,0,55,0
70,2314,40,0,56,0
71,2341,40,0,56,0
72,2368,40,0,57,0
73,2395,40,0,58,0
74,2422,40,0,59,0
75,2262,40,0,60,0
76,2287,40,0,60,0
77,2311,40,0,61,0
78,2336,40,0,62,0
79,2360,40,0,63,0
80,2385,40,0,64,0
81,2409,40,0,64,0
82,2434,40,0,65,0
83,2458,40,0,66,0
84,2483,40,0,67,0
85,2507,40,0,68,0
86,2532,40,0,68,0
87,2556,40,0,69,0
88,2581,40,0,70,0
89,2605,40,0,71,0
90,2630,40,0,72,0
91,2654,40,0,72,0
92,2679,40,0,73,0
93,2703,40,47,74,0
94,2728,40,47,75,0
95,2752,40,48,76,0
96,2777,40,48,77,0
97,2801,40,49,78,0
98,2826,40,49,78,0
99,2850,40,50,79,0
100,2874,40,50,80,0
101,2899,40,51,80,0
102,2923,40,51,81,0
103,2948,40,52,82,0
104,3232,40,52,83,0
105,2997,40,53,84,0
106,3021,40,53,85,0
107,3046,40,54,86,0
108,3070,40,54,86,0
109,3095,40,55,87,0
110,3119,40,55,88,217
111,3421,40,56,88,220
112,3448,40,56,89,223
113,3475,40,57,90,226
114,3502,40,57,91,229
115,3529,40,58,92,232
116,3556,40,58,92,236
117,3583,40,59,93,239
118,3610,40,59,94,242
119,3637,40,60,95,245
120,3364,40,60,96,248
121,3389,40,61,97,251
122,3413,40,61,98,255
123,3438,40,62,99,258
124,3462,40,62,100,261
125,3487,40,63,100,264
126,3511,40,63,100,267
127,3536,40,64,101,270
128,3880,40,64,102,273
129,3585,40,65,103,276
130,3934,40,65,104,279
131,3961,40,66,104,283
132,3988,40,66,105,286
133,3965,40,67,106,289
134,4042,40,67,107,292
135,4069,40,68,108,295
136,4096,40,68,108,298
137,4123,40,69,109,302
138,4150,40,69,110,305
139,4177,40,70,111,308
140,4204,40,70,112,311
141,4181,40,71,112,314
142,4208,40,71,113,317
143,4235,40,72,114,320
144,4262,40,72,115,323
145,4339,40,73,116,326
146,4366,40,73,116,330
147,4393,40,74,117,333
148,4370,40,74,118,336
149,4447,40,75,119,339
150,4474,40,75,120,342
151,4501,40,76,120,345
152,4528,40,76,121,348
153,4555,40,77,122,351
154,4582,40,77,123,354
155,4609,40,78,124,357
156,4636,40,78,124,360
157,4663,40,79,125,363
158,4690,40,79,126,366
159,4717,40,80,127,369
160,4744,40,80,128,372
161,4769,40,81,128,375
162,4794,40,81,129,378
163,4819,40,82,130,381
164,4844,40,82,131,384
165,4869,40,83,132,387
166,4894,40,83,132,390
167,4919,40,84,133,393
168,4944,40,84,134,396
169,4969,40,85,135,399
170,4994,40,85,136,402
